title,year,imdb_votes,location,geocode
After Hours,1985,41963,"Moondance Diner - 80 Sixth Avenue, Soho, Manhattan, New York City, New York, USA",
After Hours,1985,41963,"New York City, New York, USA",
After Hours,1985,41963,"Soho, Manhattan, New York City, New York, USA",
After Hours,1985,41963,"Spring Street Station, Soho, Manhattan, New York City, New York, USA",
Arbitrage,2012,42987,"New York City, New York, USA",
Going the Distance,2010,51638,"Antarctica Bar - 287 Hudson Street, New York City, New York, USA",
Going the Distance,2010,51638,"Docks Oyster Bar, 633 Third Avenue, New York City, New York, USA",
Going the Distance,2010,51638,"Rasputin Restaurant - 2670 Coney Island Avenue, Brooklyn, New York City, New York, USA",
Pride and Glory,2008,54191,"Broadway Stages, Brooklyn, New York City, New York, USA",
Pride and Glory,2008,54191,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
Pride and Glory,2008,54191,"New York City, New York, USA",
Pride and Glory,2008,54191,"Steiner Studios - 15 Washington Avenue, Brooklyn Navy Yard, Brooklyn, New York City, New York, USA",
Brooklyn's Finest,2009,54285,"Avenue R & East 15th Street, Brooklyn, New York City, New York, USA",
Brooklyn's Finest,2009,54285,"Brighton Beach, Brooklyn, New York City, New York, USA",
Brooklyn's Finest,2009,54285,"Brooklyn, New York City, New York, USA",
No Reservations,2007,60989,"Brooklyn Heights, Brooklyn, New York City, New York, USA",
No Reservations,2007,60989,"Greenwich Village, Manhattan, New York City, New York, USA",
No Reservations,2007,60989,"New York City, New York, USA",
Whatever Works,2009,61332,"Grant's Tomb, Riverside Drive, New York City, New York, USA",
Whatever Works,2009,61332,"Chinatown, Manhattan, New York City, New York, USA",
Whatever Works,2009,61332,"East Village, Manhattan, New York City, New York, USA",
Whatever Works,2009,61332,"Greenwich Village, Manhattan, New York City, New York, USA",
Whatever Works,2009,61332,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
Whatever Works,2009,61332,"Manhattan, New York City, New York, USA",
Whatever Works,2009,61332,"New York City, New York, USA",
Whatever Works,2009,61332,"Queens, New York City, New York, USA",
The Squid and the Whale,2005,62032,"Brooklyn College, City University of New York, Brooklyn, New York City, New York, USA",
The Squid and the Whale,2005,62032,"Ditmas Park West, Brooklyn, New York City, New York, USA",
The Squid and the Whale,2005,62032,"Midwood High School, Brooklyn, New York City, New York, USA",
The Squid and the Whale,2005,62032,"Park Slope, Brooklyn, New York City, New York, USA",
Do the Right Thing,1989,62655,"Stuyvesant Ave & Lexington Ave, Brooklyn, New York City, New York, USA",
Do the Right Thing,1989,62655,"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA",
Do the Right Thing,1989,62655,"Brooklyn, New York City, New York, USA",
